ts_key,Source,Dataset,Variable,Grouped by,Last update,Type of series,Data Pool underlying calculation
ch.kof.jobtracker.canton.ag.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Aargau,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ai.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Appenzell Innerrhoden,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ar.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Appenzell Ausserrhoden,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.be.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Bern,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.bl.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Basel-Landschaft,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.bs.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Basel-Stadt,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.fr.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Fribourg,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ge.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Genève,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.gl.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Glarus,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.gr.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Grishun,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ju.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Jura,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.lu.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Luzern,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ne.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Neuchâtel,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.nw.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Nidwalden,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ow.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Obwalden,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.sg.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,St. Gallen,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.sh.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Schaffhausen,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.so.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Solothurn,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.sz.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Schwyz,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.tg.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Thurgau,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ti.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Ticino,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.ur.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Uri,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.vd.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Vaud,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.vs.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Valais,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.zg.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Zug,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.canton.zh.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Zürich,Canton,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.1.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Managers,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.2.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Professionals,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.3.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Technicians and associate professionals,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.4.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Clerical support workers,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.5.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Service and sales workers,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.6.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,"Skilled agricultural, forestry and fishery workers",Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.7.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Craft and related trades workers,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.8.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Plant and machine operators and assemblers,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.isco.9.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Elementary occupations,Occupation,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.c.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Manufacturing,Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.d.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,"Electricity, Gas, Steam and Air-Conditioning Supply",Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.e.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,"Water Supply; Sewerage, Waste Management and Remediation Activities",Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.f.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Construction,Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.g.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.h.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Transportation and Storage,Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.i.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Accommodation and Food Service Activities,Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
ch.kof.jobtracker.noga.j.clean.idx,KOF Swiss Economic Institute (https://kof.ch),Swiss Job Tracker,Information and Communication,Industry,2022-08-18 10:32:12,Index (First week of 2020 = 100),Data cleaned of outliers
